,sa_finance1_cocode,sa_company_name,sa_finance1_year,sa_ann_rep_months,sa_fs_format,sa_total_income,sa_sales,sa_prior_period_extra_ordi_inc,sa_prior_period_inc,sa_extra_ordi_inc,sa_tot_inc_net_of_pe,sa_pat,sa_pbdita,sa_pbt,sa_pbit_net_of_peoifi,sa_pat_net_of_pe,sa_pat_net_of_pe_pc_tot_inc_net_of_pe,sa_total_liabilities,sa_non_current_liabilities,sa_long_term_borrowings,sa_current_liabilities,sa_issued_equity_shares,sa_issued_pref_shares,sa_issued_equity_cap,sa_issued_pref_cap,sa_reduct_equity_cap_amt,sa_buyback_amt,sa_issued_equity_shares_in_lakhs,sa_shareholders_funds,sa_debt,sa_total_assets,sa_non_current_assets,sa_current_assets_incl_st_invest_loans,sa_avg_tot_asset_net_miscexp_now_reval,sa_quick_ratio,sa_current_ratio,sa_debt_equity,sa_cf_net_frm_op_activity,sa_cf_generated_frm_op,sa_cf_proceeds_share_issue,sa_year,sa_begin_year_total_assets,sa_roa,f_roa,sa_cfo,f_cfo,sa_prev_roa,f_del_roa,f_acc,f_del_lev,sa_avg_tot_assets,sa_leverage,sa_prev_leverage,sa_prev_current_ratio,f_del_liq,sa_prev_issued_equity_shares,f_eq_offer,sa_margin,sa_prev_margin,f_del_margin,sa_turnover,sa_prev_turnover,f_del_turn,f_score
1517,31160,BATHINA TECHNOLOGIES (INDIA) LTD.,20020331,12,IGAAP,109.0,100.1,,,,109.0,55.6,89.2,58.7,50.3,55.7,51.1009,324.9,,0.0,15.8,11596500.0,,116.0,,,,115.965,292.9,16.1,324.9,,,267.15,16.0506,16.0696,0.055,-7.3,-7.3,54.7,2001,209.4,0.5205348615090736,1,-0.034861509073543455,0,1.0533980582524272,0,0,0,267.14999999999725,0.0,0.0,7.855,1,65.965,0,1.088911088911089,1.0251968503937008,1,0.47803247373447944,1.0275080906148868,0,3
1522,31364,BAYER CROPSCIENCE LTD.,20021231,12,IGAAP,6333.1,6146.0,22.6,13.1,9.5,6310.5,154.8,687.9,289.4,287.7,132.2,2.0949,3990.7,,0.0,1245.2,1622000.0,,162.2,,,,16.22,881.0,1475.7,3990.7,,,3918.75,0.2656,0.53,1.675,214.5,520.3,,2001,3846.8,1.640454403660185,1,0.05576063221378808,1,1.73132805286943,0,0,0,3918.7499999999977,0.0,0.0,0.6548,0,16.22,0,1.0267653758542141,1.0151290671833153,1,1.5976915878132474,1.7055250498080567,0,3
1525,31365,INEOS STYROLUTION INDIA LTD.,20021231,12,IGAAP,3493.1,3472.8,11.6,11.2,0.4,3481.5,231.8,530.0,365.8,396.9,222.1,6.3794,2657.1,,0.0,863.9,17585625.0,,175.9,,,,175.8562,1184.2,237.8,2657.1,,,2617.95,0.5927,0.8826,0.2008,462.8,566.7,,2001,2578.8,1.350046533271289,1,0.17946331627113385,1,1.1738662694472028,1,0,0,2617.9499999999975,0.0,0.0,0.9771,0,175.8562,0,1.0025051831375258,1.0028987556561086,0,1.3466728711028384,1.1704733531943066,1,4
1528,31367,SIEMENS HEALTHCARE DIAGNOSTICS LTD. [MERGED],20021231,12,IGAAP,580.1,572.4,1.2,1.2,,578.9,55.7,104.2,86.9,81.0,54.9,9.4835,338.2,,0.0,51.9,1567350.0,,15.7,,,,15.6735,247.3,18.6,338.2,,,314.85,2.5305,3.4848,0.0752,64.5,96.5,,2001,291.5,1.9859348198970839,1,0.22126929674099485,1,1.6587546239210853,1,0,0,314.84999999999735,0.0,0.0,3.7722,0,15.6735,0,1.0113556953179594,1.0054185351270553,1,1.9636363636363636,1.649815043156597,1,5
1531,31490,BEARDSELL LTD.,20020331,12,IGAAP,355.4,349.2,3.7,3.7,,351.7,3.9,42.1,6.2,24.9,0.2,0.0569,389.9,,0.0,115.0,4288988.0,,42.9,,,,42.8899,96.3,131.0,389.9,,,369.75,0.7029,0.9671,1.3603,10.5,12.6,,2001,391.8,0.8976518631955078,1,0.02679938744257274,1,1.0711244678186826,0,0,0,390.8499999999973,0.0,0.0,0.9323,1,42.8899,0,1.0071592210767468,1.0028135990621336,1,0.8912710566615619,1.0681192086150764,0,4
1534,31612,BEDMUTHA INDUSTRIES LTD.,20020331,12,IGAAP,225.8,219.5,,,,225.8,2.5,28.4,2.7,15.8,2.5,1.1072,235.8,,0.0,23.7,2693768.0,,26.9,,,,26.9377,66.1,143.9,235.8,,,233.55,1.0799,1.4427,2.177,0.0,,,2001,233.4,0.9674378748928878,1,0.0,0,0.9460806524694156,1,0,0,234.59999999999732,0.0,0.0,1.3553,1,26.9377,0,1.0287015945330296,1.025036818851252,1,0.9404455869751499,0.9229723606705935,1,5
1537,31625,BEE ELECTRONIC MACHINES LTD.,20020331,12,IGAAP,76.6,73.3,0.4,0.4,,76.2,-38.9,-11.3,-38.9,-18.2,-39.2,-51.4436,183.5,,0.0,37.8,3180000.0,,31.8,,,,31.8,-51.4,197.1,183.5,,,188.8,0.3798,1.0582,,4.9,5.1,,2001,195.5,0.389769820971867,1,0.02506393861892583,1,0.3150067598017125,1,0,0,189.49999999999733,0.0,0.0,1.1119,0,31.8,0,1.0395634379263303,1.0355555555555556,1,0.37493606138107416,0.30419107706173953,1,5
1540,31667,TULASEE BIO-ETHANOL LTD.,20020331,12,IGAAP,489.1,489.0,,,,489.1,-2.2,7.5,-2.2,5.8,-1.1,-0.2249,86.8,,0.0,20.2,6000000.0,,60.0,,,,60.0,25.3,40.4,86.8,,,104.5,0.9018,0.9152,1.5968,17.0,18.0,20.0,2001,124.4,3.9316720257234725,1,0.13665594855305466,1,5.023217247097844,0,0,0,105.59999999999735,0.0,0.0,1.1478,0,38.931,0,1.0002044989775052,1.0006607201850015,0,3.930868167202572,5.019900497512438,0,2
1543,31723,BEEKAY STEEL INDS. LTD.,20020331,12,IGAAP,723.2,714.0,6.6,6.5,0.1,716.6,-7.8,22.0,-15.1,-8.4,-14.4,-2.0095,635.4,,0.0,264.6,1991940.0,,19.9,,,,19.9194,144.7,200.2,635.4,,,594.9,0.4538,1.0177,1.3836,43.7,42.9,80.0,2001,554.8,1.2916366258111032,1,0.07876712328767124,1,1.362925303089558,0,0,0,595.0999999999972,0.0,0.0,1.1332,0,11.9194,0,1.003641456582633,1.0040334197637568,0,1.2869502523431868,1.3574501368791554,0,2
1546,31769,BEEYU OVERSEAS LTD.,20020331,12,IGAAP,510.3,503.3,0.1,0.1,,510.2,8.3,33.1,9.1,19.8,8.2,1.6072,230.4,,0.0,29.1,5319700.0,,53.2,,,,53.196999999999996,109.7,81.3,230.4,,,211.7,0.8759,1.0184,0.7411,43.5,49.9,,2001,201.8,2.5282457879088205,1,0.2155599603567889,1,1.5832610581092803,1,0,0,216.09999999999712,0.0,0.0,1.1103,0,53.25,1,1.0137095171865687,1.0258499578533298,0,2.4940535183349852,1.5433651344319166,1,5
