,sa_company_name,f_score
430,MOTOR & GENERAL FINANCE LTD.,5
431,MPHASIS LTD.,6
432,MUKERIAN PAPERS LTD.,5
433,MUNJAL SHOWA LTD.,5
434,HEIDELBERG CEMENT INDIA LTD.,6
435,N G L FINE-CHEM LTD.,5
436,N R AGARWAL INDS. LTD.,6
437,N R C LTD.,5
438,NAHAR POLY FILMS LTD.,6
439,NAHAR SPINNING MILLS LTD.,6
440,NARMADA CEMENT CO. LTD. [MERGED],6
441,NARMADA CHEMATUR PETROCHEMICALS LTD. [MERGED],5
442,NATCO PHARMA LTD.,5
443,NATCO POLYPLAST LTD.,5
444,N M D C LTD.,5
445,NOCIL LTD.,5
446,NATIONAL STEEL & AGRO INDS. LTD.,5
447,N T P C LTD.,6
448,NAVAL TECHNOPLAST INDS. LTD.,5
449,NEELAMALAI AGRO INDS. LTD.,5
450,NEHA INTERNATIONAL LTD.,5
451,NESTLE INDIA LTD.,5
452,NEWTON ENGINEERING & CHEMICALS LTD.,5
453,N L C INDIA LTD.,5
454,NIJJER AGRO FOODS LTD.,5
455,NILE LTD.,5
456,MIDWEST GOLD LTD.,6
457,NOVOPAN INDUSTRIES LTD.,5
458,NUCHEM LTD.,6
459,OIL & NATURAL GAS CORPN. LTD.,5
460,ONIDA SAVAK LTD. [MERGED],5
461,OPTO CIRCUITS (INDIA) LTD.,5
462,ORGANIC COATINGS LTD.,5
463,ORIENT PAPER & INDS. LTD.,5
464,ORTIN LABORATORIES LTD.,5
465,OSWAL AGRO MILLS LTD.,5
466,OXIDES & SPECIALITIES LTD.,5
467,P G INDUSTRY LTD.,5
468,FIBERWEB (INDIA) LTD.,5
469,SILVERTON SPINNERS LTD.,5
470,PADAM COTTON YARNS LTD.,6
471,PAL CREDIT & CAPITAL LTD.,5
472,PALS DISTILLERIES LTD.,6
473,PAN ELECTRONICS (INDIA) LTD.,5
474,PANJON LTD.,5
475,PARAS PETROFILS LTD.,5
476,PARASRAMPURIA INDUSTRIES LTD.,5
477,PAREKH ALUMINEX LTD.,5
478,PARENTERAL DRUGS (INDIA) LTD.,6
479,R C L FOODS LTD.,5
480,PASUPATI ACRYLON LTD.,5
481,PATEL INTEGRATED LOGISTICS LTD.,5
482,PATSPIN INDIA LTD.,5
483,SAMBHAAV MEDIA LTD.,5
484,PEARL POLYMERS LTD.,5
485,PENTAGON GLOBAL SOLUTIONS LTD.,5
486,PENTOKEY ORGANY (INDIA) LTD.,5
487,PERMANENT MAGNETS LTD.,6
488,PHILIPS INDIA LTD.,5
489,PHILLIPS CARBON BLACK LTD.,5
490,PHOENIX MILLS LTD.,6
491,PITTI ENGINEERING LTD.,6
492,PLASTIBLENDS INDIA LTD.,5
493,PODDAR PIGMENTS LTD.,5
494,POINT PLAST LTD.,5
495,POKARNA LTD.,5
496,POLY MEDICURE LTD.,5
497,PONNI SUGARS (ORISSA) LTD.,5
498,POONA DAL & OIL INDS. LTD.,6
499,POWER GRID CORPN. OF INDIA LTD.,5
500,PRANAVADITYA SPINNING MILLS LTD.,5
501,PRECISION ELECTRONICS LTD.,5
502,PRECISION WIRES INDIA LTD.,6
503,PRECOT MERIDIAN LTD.,5
504,PREMIER EXPLOSIVES LTD.,6
505,PREMIER INDUSTRIES (INDIA) LTD. [MERGED],5
506,PRICOL LTD. [MERGED],5
507,PRESTIGE HM-POLYCONTAINERS LTD.,5
508,PRIMA INDUSTRIES LTD.,5
509,PRISM JOHNSON LTD.,5
510,PRIYADARSINI LTD.,6
511,A M J LAND HOLDINGS LTD.,5
512,PUNJAB ANAND LAMP INDS. LTD. [MERGED],5
513,RAASI REFRACTORIES LTD.,5
514,RAGHUNATH INTERNATIONAL LTD.,6
515,R T C L LTD.,5
516,RITES LTD.,5
517,RAIN CALCINING LTD. [MERGED],5
518,RAINBOW PAPERS LTD. [MERGED],6
519,SARDA ENERGY & MINERALS LTD.,5
520,RAJ PACKAGING INDS. LTD.,6
521,E O C TAILOR MADE POLYMERS INDIA PVT. LTD. (1973),5
522,RAJ RAYON INDS. LTD.,5
523,RAJAPALAYAM MILLS LTD.,5
524,RAJDARSHAN INDUSTRIES LTD.,5
525,REMI ELEKTROTECHNIK LTD.,5
526,RAJESWARI INFRASTRUCTURE LTD.,5
527,RAJOO ENGINEERS LTD.,5
528,SHREE RAMA NEWSPRINT LTD.,5
529,RAMA VISION LTD.,5
530,RAMCO INDUSTRIES LTD.,5
531,RANA MOHENDRA PAPERS LTD.,5
532,RANA SUGARS LTD.,5
533,RANBAXY LABORATORIES LTD. [MERGED],6
534,RANE BRAKE LININGS LTD. [MERGED],5
535,RAS PROPACK LAMIPACK LTD. [MERGED],6
536,RATHI INDUSTRIES LTD.,5
537,RATHI ISPAT LTD.,5
538,RATNAMANI METALS & TUBES LTD.,5
539,RATTAN VANASPATI LTD.,5
540,RAVI HI-TECH LTD.,5
541,REGENCY CERAMICS LTD.,5
542,RELIANCE INDUSTRIAL INFRASTRUCTURE LTD.,6
543,REMI SALES & ENGG. LTD.,5
544,RENOWNED AUTO PRODUCTS MFRS. LTD. [MERGED],5
545,REPRO INDIA LTD.,5
546,RISHI LASER LTD.,5
547,RITESH INTERNATIONAL LTD.,6
548,ROSE ZINC LTD.,5
549,RUCHI SOYA INDS. LTD.,5
550,S B & T INTERNATIONAL LTD.,5
551,MAWANA SUGARS LTD.,6
552,S I PROPERTY DEVELOPMENT LTD.,5
553,S K M EGG PRODUCTS EXPORT (INDIA) LTD.,5
554,S KUMARS NATIONWIDE LTD.,5
555,S S F LTD.,5
556,S T I INDIA LTD.,5
557,STERLING WEBNET LTD.,5
558,SABERO ORGANICS GUJARAT LTD. [MERGED],5
559,SABOO BROTHERS LTD.,5
560,SABOO SODIUM CHLORO LTD.,5
561,SAI SERVICE PVT. LTD.,5
562,SAKTHI SUGARS LTD.,5
563,SALGUTI INDUSTRIES LTD.,5
564,SALONA COTSPIN LTD.,5
565,SALZER ELECTRONICS LTD.,5
566,SAMBANDAM SPINNING MILLS LTD.,5
567,SAMPRE NUTRITIONS LTD.,5
568,SANDVIK ASIA PVT. LTD.,5
569,SANGAM (INDIA) LTD.,5
570,SANGHI POLYESTERS LTD.,5
571,SANGHVI ASBESTOS CEMENTS LTD.,5
572,SANJIVANI PARANTERAL LTD.,5
573,SANTOGEN EXPORTS LTD.,5
574,ISGEC HEAVY ENGG. LTD.,5
575,SARDA PAPERS LTD.,6
576,DUROPLY INDUSTRIES LTD.,6
577,SARLA PERFORMANCE FIBRES LTD.,5
578,SATHAVAHANA ISPAT LTD.,5
579,SATYAM COMPUTER SERVICES LTD. [MERGED],6
580,SAVEN TECHNOLOGIES LTD.,5
581,SAVERA INDUSTRIES LTD.,5
582,SUNEDISON INFRASTRUCTURE LTD.,5
583,K M C SPECIALITY HOSPITALS (INDIA) LTD.,5
584,SEASONS TEXTILES LTD.,6
585,VEDANTA LTD.,5
586,SESHASAYEE PAPER & BOARDS LTD.,5
587,SHAHI SHIPPING LTD.,6
588,SHAKTI HORMANN PVT. LTD.,6
589,SHANTHI GEARS LTD.,5
590,SHARADHA TERRY PRODUCTS PVT. LTD.,5
591,SHARAT INDUSTRIES LTD.,5
592,SHETRON LTD.,5
593,SHILCHAR TECHNOLOGIES LTD.,5
594,SHILPA MEDICARE LTD.,5
595,SHIPPING CORPN. OF INDIA LTD.,5
596,SHIVA CEMENT LTD.,5
597,SHIVA PAPER MILLS LTD.,5
598,SHREE GANESH ELASTOPLAST LTD.,5
599,SHREE KRISHNA PAPER MILLS & INDS. LTD.,5
600,SHREE PACETRONIX LTD.,5
601,SHREE RAJESHWARANAND PAPER MILLS LTD.,5
602,SHREE RAM URBAN INFRASTRUCTURE LTD.,5
603,SHREEJI DYE-CHEM LTD.,5
604,YANTRA NATURAL RESOURCES LTD.,6
605,DALMIA REFRACTORIES LTD.,5
606,SHRIRAM PISTONS & RINGS LTD.,5
607,SHRISHMA FINE CHEMICALS & PHARMA. (KAR.) LTD.,5
608,SIEMENS LTD.,5
609,HITACHI CONSULTING SOFTWARE SERVICES INDIA PVT. LTD.,5
610,SILCAL METALLURGIC LTD.,6
611,SILKTEX LTD.,5
612,SILTAP CHEMICALS LTD. [MERGED],5
613,SIMMONDS MARSHALL LTD.,5
