sa_finance1_cocode,sa_company_name,sa_finance1_year,sa_ann_rep_months,sa_fs_format,sa_total_income,sa_sales,sa_prior_period_extra_ordi_inc,sa_prior_period_inc,sa_extra_ordi_inc,sa_tot_inc_net_of_pe,sa_pat,sa_pbdita,sa_pbt,sa_pbit_net_of_peoifi,sa_pat_net_of_pe,sa_pat_net_of_pe_pc_tot_inc_net_of_pe,sa_total_liabilities,sa_non_current_liabilities,sa_long_term_borrowings,sa_current_liabilities,sa_issued_equity_shares,sa_issued_pref_shares,sa_issued_equity_cap,sa_issued_pref_cap,sa_reduct_equity_cap_amt,sa_buyback_amt,sa_issued_equity_shares_in_lakhs,sa_shareholders_funds,sa_debt,sa_total_assets,sa_non_current_assets,sa_current_assets_incl_st_invest_loans,sa_avg_tot_asset_net_miscexp_now_reval,sa_quick_ratio,sa_current_ratio,sa_debt_equity,sa_cf_net_frm_op_activity,sa_cf_generated_frm_op,sa_cf_proceeds_share_issue,sa_year
200506,RUBFILA INTERNATIONAL LTD.,20040331,12,IGAAP,267.8,203.7,63.6,63.6,,204.2,-42.1,32.9,-42.1,-53.1,-91.2,-44.6621,459.3,,,78.7,31683707.0,,316.8,,,,316.8371,116.5,230.8,459.3,,,541.3,0.2374,0.2912,1.9811,108.7,120.9,,2003
200506,RUBFILA INTERNATIONAL LTD.,20050331,12,IGAAP,254.6,239.5,14.1,14.1,,240.5,-47.6,19.5,-47.6,-47.6,-60.5,-25.1559,430.2,,,97.5,31683707.0,,316.8,,,,316.8371,72.6,224.2,430.2,,,432.9,0.2543,0.3024,3.0882,12.6,-0.3,,2004
200506,RUBFILA INTERNATIONAL LTD.,20060331,12,IGAAP,300.8,296.5,3.6,3.6,,297.2,-44.2,2.7,-44.2,-33.1,-47.5,-15.9825,387.4,,,87.9,31683707.0,,316.8,,,,316.8371,31.1,244.5,387.4,,,400.15,0.1852,0.2525,7.8617,-11.4,-14.1,,2005
200532,RUBRA MEDICAMENTS LTD.,20040331,12,IGAAP,7.4,7.4,,,,7.4,-0.6,0.6,-0.6,-0.6,-0.6,-8.1081,46.3,,,1.3,5468300.0,,54.7,,,,54.683,39.0,0.9,46.3,,,44.35,0.9231,1.8462,0.0231,0.5,0.5,,2003
200532,RUBRA MEDICAMENTS LTD.,20050331,12,IGAAP,8.6,8.6,,,,8.6,0.0,1.4,0.0,0.1,0.0,0.0000,46.5,,,1.7,5468300.0,,54.7,,,,54.683,39.9,0.7,46.5,,,44.95,0.7647,1.7647,0.0175,1.0,1.0,,2004
200532,RUBRA MEDICAMENTS LTD.,20060331,12,IGAAP,13.2,13.2,,,,13.2,0.1,1.8,0.2,0.5,0.1,0.7576,46.7,,,2.1,5468300.0,,54.7,,,,54.683,40.8,0.6,46.7,,,46.0,0.5455,0.8636,0.0147,1.0,1.0,,2005
200576,RUBY MILLS LTD.,20040331,12,IGAAP,857.6,844.3,6.5,,6.5,851.1,34.8,135.3,53.7,68.5,28.3,3.3251,986.3,,,151.8,4180000.0,,41.8,,,,41.8,371.8,310.5,986.3,,,869.25,0.6676,1.228,0.8351,163.4,191.6,,2003
200576,RUBY MILLS LTD.,20050331,12,IGAAP,860.8,821.3,25.4,0.5,24.9,835.4,43.3,159.1,58.3,55.8,18.0,2.1547,1112.8,,,130.5,4180000.0,,41.8,,,,41.8,415.4,401.3,1112.8,,,1021.85,0.591,1.1757,0.9661,79.7,84.2,,2004
200576,RUBY MILLS LTD.,20060331,12,IGAAP,999.4,953.5,35.8,1.0,34.8,963.6,100.3,238.1,133.6,118.1,70.7,7.3371,1371.1,,,198.0,4180000.0,,41.8,,,,41.8,513.6,477.7,1371.1,,,1224.1,0.7244,1.2256,0.9301,234.6,252.8,,2005
200599,PANACHE INNOVATIONS LTD.,20040331,12,IGAAP,0.6,0.5,,,,0.6,-0.2,0.0,-0.2,-0.3,-0.2,-33.3333,3.0,,,,240000.0,,2.4,,,,2.4,3.0,,3.0,,,3.1,,,0.0,-0.3,-0.3,,2003
